City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
665,Bontang,ID,76.42,moderate rain,0.1333,117.5,Hotel Sederhana
666,Kantunilkin,MX,80.69,few clouds,21.0917,-87.45,Posada del Parque
668,Sao Gabriel Da Cachoeira,BR,82.2,clear sky,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
670,Riyadh,SA,71.74,clear sky,24.6877,46.7219,White Palace Hotel
673,Honiara,SB,77.23,overcast clouds,-9.4333,159.95,King Solomon Hotel
678,Dwarka,IN,76.6,overcast clouds,22.2394,68.9678,The Dwarika Hotel
679,Mindelo,CV,80.15,few clouds,16.8901,-24.9804,Solar Windelo
687,Aswan,EG,81.7,clear sky,24.0934,32.907,Yaseen hotel
688,Pochutla,MX,75.81,scattered clouds,15.7432,-96.4661,Hotel El Patio
691,Guarapari,BR,80.89,scattered clouds,-20.6667,-40.4975,Osmar Hotel
692,Vanimo,PG,76.82,light rain,-2.6741,141.3028,CBC Guesthouse
695,Grand Gaube,MU,81.0,few clouds,-20.0064,57.6608,Coco Villa
696,Libertador General San Martin,AR,83.7,overcast clouds,-23.8064,-64.7876,Hosteria Real Victoria
698,Sabha,LY,78.66,clear sky,27.0377,14.4283,فندق الكاظم-سبها
703,Guatire,VE,85.69,scattered clouds,10.4762,-66.5427,Grand Hotel
