City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Hithadhoo,MV,-0.6,73.0833,81.52,69,11,10.87,few clouds
176,Auki,SB,-8.7676,160.7034,76.53,87,75,3.76,broken clouds
177,Waipawa,NZ,-41.4122,175.5153,62.26,83,100,7.14,moderate rain
178,East London,ZA,-33.0153,27.9116,79.74,78,20,12.66,light rain
179,Inirida,CO,3.8653,-67.9239,88.79,57,40,0.25,scattered clouds
180,Mount Gambier,AU,-37.8333,140.7667,50.07,85,30,7.36,scattered clouds
181,Zwedru,LR,6.0667,-8.1281,95.49,27,56,2.66,broken clouds
182,Show Low,US,34.2542,-110.0298,23.14,75,0,4.61,clear sky
183,Rio Gallegos,AR,-51.6226,-69.2181,66.25,34,0,13.8,clear sky
184,Marystown,CA,47.1666,-55.1483,37.24,78,81,22.03,broken clouds
185,Pilar,BR,-9.5972,-35.9567,87.73,46,41,12.66,scattered clouds
186,Gat,IL,31.61,34.7642,71.4,100,0,9.1,clear sky
187,Kuryk,KZ,43.2,51.65,44.4,62,50,11.14,scattered clouds
188,Marzuq,YE,14.4,46.4667,66.69,26,3,7.7,clear sky
189,Dingle,PH,10.9995,122.6711,76.57,91,70,8.14,broken clouds
190,Boa Vista,BR,2.8197,-60.6733,82.38,61,0,10.36,clear sky
191,Phek,IN,25.6667,94.5,41.02,94,84,1.7,broken clouds
192,Salalah,OM,17.0151,54.0924,80.69,47,0,4.61,clear sky
193,Aklavik,CA,68.2191,-135.0107,6.8,72,75,11.5,broken clouds
194,Bull Savanna,JM,17.8868,-77.5902,79.75,66,0,11.23,clear sky
195,Ahipara,NZ,-35.1667,173.1667,64.04,93,100,3.18,moderate rain
196,Tiksi,RU,71.6872,128.8694,-28.07,100,100,2.1,overcast clouds
197,Inongo,CD,-1.95,18.2667,79.86,68,46,2.75,light rain
198,Nemuro,JP,43.3236,145.575,25.27,61,7,18.07,clear sky
199,Gondanglegi,ID,-7.7479,112.0132,75.02,92,100,2.71,overcast clouds
200,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,65,20,17.27,few clouds
201,New Norfolk,AU,-42.7826,147.0587,51.3,76,33,2.28,scattered clouds
202,Ritchie,ZA,-29.038,24.6028,79.3,45,75,11.74,broken clouds
203,Terre Haute,US,39.4667,-87.4139,34.84,74,100,13.8,overcast clouds
204,Casino,AU,-28.8667,153.05,65.79,85,99,4.5,overcast clouds
205,Victoria,HK,22.2855,114.1577,62.26,91,100,13.0,overcast clouds
206,San Joaquin,US,37.9333,-121.3011,37.53,93,57,3.85,broken clouds
207,Ust-Tsilma,RU,65.441,52.1498,16.86,94,100,9.35,light snow
208,Sonoita,MX,31.85,-112.8333,48.79,47,100,4.9,overcast clouds
209,Dalhousie,IN,32.5333,75.9833,42.42,32,0,6.55,clear sky
210,Fare,PF,-16.7,-151.0167,79.63,78,100,14.27,overcast clouds
